date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,2,pampers size 1,B07H38BPJX,Pampers,1,546,KS7246,47.88,3.4,72
2019-09-08,5,2,sensitive baby wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,2,size 1 diapers,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,2,size 5 diapers,B010OVZO64,Pampers,1,546,KS7246,49.98,3.9,1009
2019-09-08,5,2,swaddlers size 1,B07RXXD2SY,Pampers,1,546,KS7246,123.25,null,0
2019-09-08,5,2,swim diaper,B0792MQTV8,Pampers,1,546,KS7246,16.58,4.1,29
2019-09-08,5,2,swim diapers,B0792MYNY3,Pampers,1,546,KS7246,16.58,4.1,29
2019-09-08,5,2,swimming diapers,B0792T8WNZ,Pampers,1,546,KS7246,16.44,4.3,55
2019-09-08,5,2,wet wipes baby,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,2,wipes baby,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,3,baby wipes,B07MRPGS5T,Huggies,1,546,KS7246,8.98,4.7,279
2019-09-08,5,3,baby wipes compostable,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,3,baby wipes sensitive,B07MDRNK8L,Huggies,1,546,KS7246,14.99,4.9,157
2019-09-08,5,3,baby wipes unscented,B07H5MLTDF,Amazon Elements,1,546,KS7246,12.49,4.5,13457
2019-09-08,5,3,diaper,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,3,diaper huggies newborn,B07R3SV7VM,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,diaper newborn,B07QZ1KKJ9,Huggies,1,546,KS7246,49.98,4.5,325
2019-09-08,5,3,diaper size 4,B010OWA76K,Pampers,1,546,KS7246,49.91,3.9,362
2019-09-08,5,3,diaper size 5,B010OVZO64,Pampers,1,546,KS7246,49.98,3.9,1009
2019-09-08,5,3,diapers,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,3,diapers newborn,B07QZ1KKJ9,Huggies,1,546,KS7246,49.98,4.5,325
2019-09-08,5,3,diapers size 1,B07H38BPJX,Pampers,1,546,KS7246,47.88,3.4,72
2019-09-08,5,3,diapers size 4,B010OWA76K,Pampers,1,546,KS7246,49.91,3.9,362
2019-09-08,5,3,diapers size 5,B010OVZO64,Pampers,1,546,KS7246,49.98,3.9,1009
2019-09-08,5,3,diapers size 6,B010OVIR90,Pampers,1,546,KS7246,49.68,3.9,362
2019-09-08,5,3,honest company diapers size 1,B072MZ562L,The Honest Company,1,546,KS7246,10.93,4.3,71
2019-09-08,5,3,honest diapers newborn,B07G8F7GZ5,The Honest Company,0,546,KS7246,42.35,4,459
2019-09-08,5,3,huggies,B07R15693G,Huggies,1,546,KS7246,49.88,4.5,325
2019-09-08,5,3,huggies baby wipes,B07MDRNNP6,Huggies,1,546,KS7246,14.63,4.7,279
2019-09-08,5,3,huggies diapers 3,B07R3SV7VM,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,huggies diapers size 1,B07R15693G,Huggies,1,546,KS7246,49.88,4.5,325
2019-09-08,5,3,huggies natural care wipes,B07MRPGS5T,Huggies,1,546,KS7246,8.98,4.7,279
2019-09-08,5,3,huggies overnites size 5,B07R2BT1LS,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,huggies size 1,B07MYWMKNK,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,3,huggies size 2,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,3,huggies size 3,B07R3SV7VM,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,huggies size 4,B07QZ1KSZP,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,huggies size 5,B07R2BT1LS,Huggies,1,546,KS7246,49.99,4.5,325
2019-09-08,5,3,huggies size 6,B07QZ1GB8K,Huggies,1,546,KS7246,49.99,4.5,325
